2024-25 Enrollment by Selected Population (District) ,,,,,,,,,,,,,
District Name,District Code,High Needs#,High Needs%,English Learners#,English Learners%,First Language Not English#,First Language Not English%,Low Income#,Low Income%,Students with Disabilities#,Students with Disabilities%,Students with Disabilities#,Students with Disabilities%
Marblehead Community Charter Public (District),04640000,     104,  54.2,      12,   6.3,      33,  17.2,      55,  28.6, , ,      56,  29.2
Marion,01690000,     159,  42.0,       1,   0.3,       6,   1.6,     105,  28.5, , ,      92,  24.3
Marlborough,01700000,"   3,572",  74.6,"   1,604",  33.9,"   2,867",  60.6,"   2,866",  60.6, , ,     765,  16.0
Marshfield,01710000,"   1,206",  32.8,     131,   3.6,     202,   5.6,     649,  17.8, , ,     726,  19.8
Martha's Vineyard,07000000,     418,  55.4,      97,  13.0,     237,  31.9,     266,  35.8, , ,     172,  22.8
Martha's Vineyard Charter Public School (District),04660000,      88,  50.0,       5,   2.8,      12,   6.8,      64,  36.4, , ,      47,  26.7
"Martin Luther King, Jr. Charter School of Excellence (District)",04920000,     323,  91.2,      65,  18.4,     109,  30.8,     293,  82.8, , ,      58,  16.4
Masconomet,07050000,     422,  27.3,       3,   0.2,      26,   1.8,     150,  10.2, , ,     316,  20.5
Mashpee,01720000,     720,  51.5,     103,   7.4,     234,  16.9,     556,  40.1, , ,     234,  16.8
Match Charter Public School (District),04690000,     972,  81.7,     221,  18.6,     568,  47.8,     840,  70.6, , ,     272,  22.9
Mattapoisett,01730000,     126,  32.6,       3,   0.8,       4,   1.0,      74,  19.4, , ,      80,  20.7
Maynard,01740000,     500,  40.3,      87,   7.1,     179,  14.7,     301,  24.7, , ,     244,  19.7
Medfield,01750000,     545,  21.8,      23,   0.9,     108,   4.4,     172,   6.9, , ,     388,  15.5
Medford,01760000,"   2,212",  52.6,     599,  14.4,"   1,286",  30.8,"   1,555",  37.3, , ,     870,  20.7
Medway,01770000,     658,  30.1,      94,   4.4,     140,   6.5,     327,  15.2, , ,     349,  16.0
Melrose,01780000,"   1,241",  32.1,     233,   6.1,     608,  15.9,     573,  15.0, , ,     685,  17.7
Mendon-Upton,07100000,     514,  24.6,      74,   3.6,     154,   7.4,     288,  13.9, , ,     231,  11.1
Methuen,01810000,"   4,436",  67.0,"   1,257",  19.4,"   2,180",  33.7,"   3,511",  54.3, , ,"   1,404",  21.2
Middleborough,01820000,"   1,427",  49.3,      70,   2.4,     142,   4.9,"   1,124",  39.2, , ,     593,  20.5
Middleton,01840000,     247,  33.7,      37,   5.1,      45,   6.2,     102,  14.0, , ,     152,  20.7
Milford,01850000,"   3,192",  70.0,"   1,588",  35.2,"   2,499",  55.4,"   2,610",  57.8, , ,     818,  17.9
Millbury,01860000,     795,  48.4,      89,   5.5,     200,  12.3,     546,  33.5, , ,     356,  21.7
Millis,01870000,     411,  34.9,      25,   2.2,     106,   9.1,     203,  17.5, , ,     246,  20.9
Milton,01890000,"   1,264",  28.6,     138,   3.2,     454,  10.4,     593,  13.6, , ,     763,  17.3
Minuteman Regional Vocational Technical,08300000,     381,  57.0,       7,   1.0,      49,   7.3,     139,  20.8, , ,     303,  45.3
